special category name, description
Free to play, Games which are free to play
Demos, Free games meant to give a trial of the full game
Early Access, Games that are not fully released and still in development
Controller-Friendly, Games with controller support
Remote Play, Games that support streaming from a remote PC
Software, Games that are not games
VR, Games that run in virtual reality
Indie, Games by independent developers
